benchmark,your_tool_%,testcoca_%,testcov_%,dataset
bench01_conjunctive,83.3,75.0,75.0,Custom
bench02_linear,83.3,83.3,83.3,Custom
bench02_linear_abstracted,87.5,87.5,75.0,Custom
bench03_linear,87.5,80.0,80.0,Custom
bench04_conjunctive,83.3,70.0,70.0,Custom
bench05_conjunctive,87.5,75.0,75.0,Custom
bench06_conjunctive,87.5,87.5,87.5,Custom
bench07_linear,100,90.0,70.0,Custom
bench08_conjunctive,83.3,70.0,70.0,Custom
bench09_conjunctive,75.0,66.7,66.7,Custom
bench46_disjunctive,90.0,88.9,85.0,Custom
bench47_linear,70.0,83.3,78.6,Custom
MADWiFi-encode_ie_ok,22.2,N/A,N/A,SV-COMP
NetBSD_loop,25.0,N/A,N/A,SV-COMP
SpamAssassin-loop,100.0,N/A,N/A,SV-COMP
SpamAssassin-loop.i.v+cfa-reducer,60.9,60.9,60.9,SV-COMP
afnp2014,50.0,N/A,N/A,SV-COMP
apache-escape-absolute,13.3,N/A,N/A,SV-COMP
apache-escape-absolute.i.v+cfa-reducer,41.0,41.0,41.0,SV-COMP
apache-get-tag,90.0,N/A,N/A,SV-COMP
apache-get-tag.i.p+lhb-reducer,48.1,48.1,48.1,SV-COMP
apache-get-tag.i.p+nlh-reducer,8.7,8.7,8.8,SV-COMP
apache-get-tag.i.p+sep-reducer,12.1,12.2,12.2,SV-COMP
apache-get-tag.i.v+lhb-reducer,64.5,64.5,64.5,SV-COMP
apache-get-tag.i.v+nlh-reducer,65.5,65.5,65.5,SV-COMP
array-1,83.3,83.3,83.3,SV-COMP
array-2,66.7,100.0,66.7,SV-COMP
array3,75.0,75.0,75.0,SV-COMP
array_2-1,83.3,83.3,0.0,SV-COMP
array_2-2,83.3,83.3,83.3,SV-COMP
array_3-1,75.0,75.0,75.0,SV-COMP
array_3-2,83.3,75.0,75.0,SV-COMP
array_4,83.3,83.3,83.3,SV-COMP
bh2017-ex-add,25.0,0.0,N/A,SV-COMP
bh2017-ex3,28.6,0.0,N/A,SV-COMP
bhmr2007,33.3,N/A,N/A,SV-COMP
bubble_sort-1,3.1,0.0,N/A,SV-COMP
bubble_sort-2,0.0,2.1,2.1,SV-COMP
cggmp2005_variant,25.0,N/A,N/A,SV-COMP
compact,100.0,16.7,16.7,SV-COMP
const_1-2_abstracted,50.0,0.0,N/A,SV-COMP
count_by_k,50.0,N/A,N/A,SV-COMP
count_by_nondet,50.0,N/A,N/A,SV-COMP
count_up_down-1,75.0,75.0,75.0,SV-COMP
count_up_down-2,75.0,75.0,0.0,SV-COMP
css2003,75.0,N/A,N/A,SV-COMP
ddlm2013,37.5,N/A,N/A,SV-COMP
diamond_1-1,66.7,66.7,66.7,SV-COMP
diamond_1-2,66.7,66.7,0.0,SV-COMP
diamond_2-2,54.2,0.0,N/A,SV-COMP
down,100.0,N/A,N/A,SV-COMP
eureka_01-1,87.5,82.1,35.7,SV-COMP
for_bounded_loop1,80.0,80.0,50.0,SV-COMP
for_infinite_loop_1,12.5,12.5,16.7,SV-COMP
for_infinite_loop_2,12.5,12.5,16.7,SV-COMP
fragtest_simple,50.0,N/A,N/A,SV-COMP
gauss_sum,100.0,N/A,N/A,SV-COMP
gauss_sum.i.p+cfa-reducer,70.0,70.0,70.0,SV-COMP
gauss_sum.i.p+lhb-reducer,80.0,80.0,80.0,SV-COMP
gauss_sum.i.v+cfa-reducer,70.0,70.0,70.0,SV-COMP
gcnr2008,10.0,N/A,N/A,SV-COMP
gj2007.c.i.p+lhb-reducer,54.8,52.3,52.3,SV-COMP
gj2007.c.i.p+nlh-reducer,50.4,50.0,50.0,SV-COMP
gj2007b,25.0,N/A,N/A,SV-COMP
gsv2008,100.0,N/A,N/A,SV-COMP
gsv2008.c.i.p+cfa-reducer,87.5,70.0,70.0,SV-COMP
gsv2008.c.i.v+cfa-reducer,87.5,70.0,70.0,SV-COMP
gsv2008.c.i.v+lhb-reducer,80.0,66.7,66.7,SV-COMP
half,100.0,N/A,N/A,SV-COMP
half_2,50.0,N/A,N/A,SV-COMP
heapsort,6.2,N/A,N/A,SV-COMP
hh2012-ex2b,37.5,0.0,N/A,SV-COMP
hhk2008,50.0,N/A,N/A,SV-COMP
id_build,100.0,N/A,N/A,SV-COMP
id_build.i.p+nlh-reducer,28.7,28.7,28.7,SV-COMP
id_build.i.p+sep-reducer,28.7,28.7,28.7,SV-COMP
id_build.i.v+lhb-reducer,62.5,62.5,62.5,SV-COMP
id_trans,50.0,N/A,N/A,SV-COMP
insertion_sort-1,25.0,0.0,N/A,SV-COMP
insertion_sort-1-2,7.1,6.2,6.2,SV-COMP
insertion_sort-2,30.0,0.0,N/A,SV-COMP
insertion_sort-2-2,8.3,7.1,7.1,SV-COMP
